"link","word","l1","l2","l3","l4","l5"
"https://kbbi.kemdikbud.go.id/entri/alkah","alkah","a","l","k","a","h"
"https://kbbi.kemdikbud.go.id/entri/alkap","alkap","a","l","k","a","p"
"https://kbbi.kemdikbud.go.id/entri/alkil","alkil","a","l","k","i","l"
"https://kbbi.kemdikbud.go.id/entri/alkom","alkom","a","l","k","o","m"
"https://kbbi.kemdikbud.go.id/entri/alkus","alkus","a","l","k","u","s"
"https://kbbi.kemdikbud.go.id/entri/allah","allah","a","l","l","a","h"
"https://kbbi.kemdikbud.go.id/entri/almon","almon","a","l","m","o","n"
"https://kbbi.kemdikbud.go.id/entri/aloco","aloco","a","l","o","c","o"
"https://kbbi.kemdikbud.go.id/entri/aloha","aloha","a","l","o","h","a"
"https://kbbi.kemdikbud.go.id/entri/aloin","aloin","a","l","o","i","n"
"https://kbbi.kemdikbud.go.id/entri/alosa","alosa","a","l","o","s","a"
"https://kbbi.kemdikbud.go.id/entri/alosu","alosu","a","l","o","s","u"
"https://kbbi.kemdikbud.go.id/entri/alpin","alpin","a","l","p","i","n"
"https://kbbi.kemdikbud.go.id/entri/alpis","alpis","a","l","p","i","s"
"https://kbbi.kemdikbud.go.id/entri/altar","altar","a","l","t","a","r"
"https://kbbi.kemdikbud.go.id/entri/alula","alula","a","l","u","l","a"
"https://kbbi.kemdikbud.go.id/entri/alune","alune","a","l","u","n","e"
"https://kbbi.kemdikbud.go.id/entri/alung","alung","a","l","u","n","g"
"https://kbbi.kemdikbud.go.id/entri/alusi","alusi","a","l","u","s","i"
"https://kbbi.kemdikbud.go.id/entri/alwah","alwah","a","l","w","a","h"
"https://kbbi.kemdikbud.go.id/entri/amang","amang","a","m","a","n","g"
"https://kbbi.kemdikbud.go.id/entri/ambah","ambah","a","m","b","a","h"
"https://kbbi.kemdikbud.go.id/entri/ambai","ambai","a","m","b","a","i"
"https://kbbi.kemdikbud.go.id/entri/ambak","ambak","a","m","b","a","k"
"https://kbbi.kemdikbud.go.id/entri/ambal","ambal","a","m","b","a","l"
"https://kbbi.kemdikbud.go.id/entri/ambar","ambar","a","m","b","a","r"
